MÊS,PRODUTO,UNIDADE DE MEDIDA,PREÇO MÉDIO DE DISTRIBUIÇÃO,DESVIO PADRÃO
Oct-21,ÓLEO DIESEL B S500 - ADITIVADO,R$/l,4.658,0.186
Nov-21,ÓLEO DIESEL B S500 - ADITIVADO,R$/l,4.914,0.156
Dec-21,ÓLEO DIESEL B S500 - ADITIVADO,R$/l,4.877,0.161
Jan-22,ÓLEO DIESEL B S500 - ADITIVADO,R$/l,5.093,0.180
Feb-22,ÓLEO DIESEL B S500 - ADITIVADO,R$/l,5.177,0.145
Mar-22,ÓLEO DIESEL B S500 - ADITIVADO,R$/l,5.687,0.342
Apr-22,ÓLEO DIESEL B S500 - ADITIVADO,R$/l,5.920,0.198
May-22,ÓLEO DIESEL B S500 - ADITIVADO,R$/l,6.163,0.197
Jun-22,ÓLEO DIESEL B S500 - ADITIVADO,R$/l,6.504,0.337
Jul-22,ÓLEO DIESEL B S500 - ADITIVADO,R$/l,6.819,0.117
Aug-22,ÓLEO DIESEL B S500 - ADITIVADO,R$/l,6.409,0.201
Sep-22,ÓLEO DIESEL B S500 - ADITIVADO,R$/l,6.144,0.187
Oct-22,ÓLEO DIESEL B S500 - ADITIVADO,R$/l,5.983,0.174
Nov-22,ÓLEO DIESEL B S500 - ADITIVADO,R$/l,6.025,0.160
Dec-22,ÓLEO DIESEL B S500 - ADITIVADO,R$/l,5.685,0.198
Jan-23,ÓLEO DIESEL B S500 - ADITIVADO,R$/l,5.700,0.171
Feb-23,ÓLEO DIESEL B S500 - ADITIVADO,R$/l,5.362,0.200
Mar-23,ÓLEO DIESEL B S500 - ADITIVADO,R$/l,5.154,0.173
Apr-23,ÓLEO DIESEL B S500 - ADITIVADO,R$/l,5.011,0.171
May-23,ÓLEO DIESEL B S500 - ADITIVADO,R$/l,4.587,0.195
Jun-23,ÓLEO DIESEL B S500 - ADITIVADO,R$/l,4.363,0.104
Jul-23,ÓLEO DIESEL B S500 - ADITIVADO,R$/l,4.349,0.098
Aug-23,ÓLEO DIESEL B S500 - ADITIVADO,R$/l,4.893,0.417
Sep-23,ÓLEO DIESEL B S500 - ADITIVADO,R$/l,5.416,0.161
Oct-23,ÓLEO DIESEL B S500 - ADITIVADO,R$/l,5.427,0.169
Nov-23,ÓLEO DIESEL B S500 - ADITIVADO,R$/l,5.440,0.156
Dec-23,ÓLEO DIESEL B S500 - ADITIVADO,R$/l,5.227,0.173
Jan-24,ÓLEO DIESEL B S500 - ADITIVADO,R$/l,5.195,0.158
Feb-24,ÓLEO DIESEL B S500 - ADITIVADO,R$/l,5.260,0.134
Mar-24,ÓLEO DIESEL B S500 - ADITIVADO,R$/l,5.249,0.120
Apr-24,ÓLEO DIESEL B S500 - ADITIVADO,R$/l,5.285,0.114
May-24,ÓLEO DIESEL B S500 - ADITIVADO,R$/l,5.263,0.106
Jun-24,ÓLEO DIESEL B S500 - ADITIVADO,R$/l,5.293,0.115
Jul-24,ÓLEO DIESEL B S500 - ADITIVADO,R$/l,5.369,0.124
Aug-24,ÓLEO DIESEL B S500 - ADITIVADO,R$/l,5.367,0.200
Sep-24,ÓLEO DIESEL B S500 - ADITIVADO,R$/l,5.339,0.198
Oct-24,ÓLEO DIESEL B S500 - ADITIVADO,R$/l,5.365,0.219
Nov-24,ÓLEO DIESEL B S500 - ADITIVADO,R$/l,5.453,0.222
Dec-24,ÓLEO DIESEL B S500 - ADITIVADO,R$/l,5.497,0.223
Jan-25,ÓLEO DIESEL B S500 - ADITIVADO,R$/l,5.580,0.209
Feb-25,ÓLEO DIESEL B S500 - ADITIVADO,R$/l,5.804,0.192
Mar-25,ÓLEO DIESEL B S500 - ADITIVADO,R$/l,5.758,0.216
Apr-25,ÓLEO DIESEL B S500 - ADITIVADO,R$/l,5.537,0.231
May-25,ÓLEO DIESEL B S500 - ADITIVADO,R$/l,5.327,0.209
Jun-25,ÓLEO DIESEL B S500 - ADITIVADO,R$/l,5.302,0.203
Jul-25,ÓLEO DIESEL B S500 - ADITIVADO,R$/l,5.310,0.170
Aug-25,ÓLEO DIESEL B S500 - ADITIVADO,R$/l,5.372,0.177
Sep-25,ÓLEO DIESEL B S500 - ADITIVADO,R$/l,5.352,0.165
Oct-25,ÓLEO DIESEL B S500 - ADITIVADO,R$/l,5.364,0.153
Nov-25,ÓLEO DIESEL B S500 - ADITIVADO,R$/l,5.384,0.154
Dec-25,ÓLEO DIESEL B S500 - ADITIVADO,R$/l,5.401,0.158
Jan-26,ÓLEO DIESEL B S500 - ADITIVADO,R$/l,5.415,0.165
Feb-26,ÓLEO DIESEL B S500 - ADITIVADO,R$/l,5.372,0.159
Mar-26,ÓLEO DIESEL B S500 - ADITIVADO,R$/l,6.035,0.512
Apr-26,ÓLEO DIESEL B S500 - ADITIVADO,R$/l,6.169,0.337
Sep-20,ÓLEO DIESEL B S500 - COMUM,R$/l,3.002,0.157
Oct-20,ÓLEO DIESEL B S500 - COMUM,R$/l,3.020,0.134
Nov-20,ÓLEO DIESEL B S500 - COMUM,R$/l,3.136,0.141
Dec-20,ÓLEO DIESEL B S500 - COMUM,R$/l,3.251,0.130
Jan-21,ÓLEO DIESEL B S500 - COMUM,R$/l,3.314,0.137
Feb-21,ÓLEO DIESEL B S500 - COMUM,R$/l,3.554,0.202
Mar-21,ÓLEO DIESEL B S500 - COMUM,R$/l,3.793,0.139
Apr-21,ÓLEO DIESEL B S500 - COMUM,R$/l,3.749,0.133
May-21,ÓLEO DIESEL B S500 - COMUM,R$/l,4.051,0.129
Jun-21,ÓLEO DIESEL B S500 - COMUM,R$/l,4.081,0.137
Jul-21,ÓLEO DIESEL B S500 - COMUM,R$/l,4.164,0.143
Aug-21,ÓLEO DIESEL B S500 - COMUM,R$/l,4.191,0.137
Sep-21,ÓLEO DIESEL B S500 - COMUM,R$/l,4.308,0.153
Oct-21,ÓLEO DIESEL B S500 - COMUM,R$/l,4.610,0.186
Nov-21,ÓLEO DIESEL B S500 - COMUM,R$/l,4.857,0.151
Dec-21,ÓLEO DIESEL B S500 - COMUM,R$/l,4.814,0.157
Jan-22,ÓLEO DIESEL B S500 - COMUM,R$/l,5.026,0.179
Feb-22,ÓLEO DIESEL B S500 - COMUM,R$/l,5.108,0.153
Mar-22,ÓLEO DIESEL B S500 - COMUM,R$/l,5.687,0.356
Apr-22,ÓLEO DIESEL B S500 - COMUM,R$/l,5.909,0.184
May-22,ÓLEO DIESEL B S500 - COMUM,R$/l,6.155,0.218
Jun-22,ÓLEO DIESEL B S500 - COMUM,R$/l,6.475,0.352
Jul-22,ÓLEO DIESEL B S500 - COMUM,R$/l,6.757,0.163
Aug-22,ÓLEO DIESEL B S500 - COMUM,R$/l,6.300,0.243
Sep-22,ÓLEO DIESEL B S500 - COMUM,R$/l,6.045,0.208
Oct-22,ÓLEO DIESEL B S500 - COMUM,R$/l,5.880,0.188
Nov-22,ÓLEO DIESEL B S500 - COMUM,R$/l,5.933,0.164
Dec-22,ÓLEO DIESEL B S500 - COMUM,R$/l,5.557,0.234
Jan-23,ÓLEO DIESEL B S500 - COMUM,R$/l,5.572,0.185
Feb-23,ÓLEO DIESEL B S500 - COMUM,R$/l,5.238,0.205
Mar-23,ÓLEO DIESEL B S500 - COMUM,R$/l,5.086,0.163
Apr-23,ÓLEO DIESEL B S500 - COMUM,R$/l,4.952,0.161
May-23,ÓLEO DIESEL B S500 - COMUM,R$/l,4.513,0.195
Jun-23,ÓLEO DIESEL B S500 - COMUM,R$/l,4.305,0.120
Jul-23,ÓLEO DIESEL B S500 - COMUM,R$/l,4.297,0.118
Aug-23,ÓLEO DIESEL B S500 - COMUM,R$/l,4.861,0.428
Sep-23,ÓLEO DIESEL B S500 - COMUM,R$/l,5.389,0.151
Oct-23,ÓLEO DIESEL B S500 - COMUM,R$/l,5.351,0.147
Nov-23,ÓLEO DIESEL B S500 - COMUM,R$/l,5.321,0.155
Dec-23,ÓLEO DIESEL B S500 - COMUM,R$/l,5.127,0.171
Jan-24,ÓLEO DIESEL B S500 - COMUM,R$/l,5.077,0.139
Feb-24,ÓLEO DIESEL B S500 - COMUM,R$/l,5.153,0.120
Mar-24,ÓLEO DIESEL B S500 - COMUM,R$/l,5.158,0.113
Apr-24,ÓLEO DIESEL B S500 - COMUM,R$/l,5.212,0.102
May-24,ÓLEO DIESEL B S500 - COMUM,R$/l,5.194,0.104
Jun-24,ÓLEO DIESEL B S500 - COMUM,R$/l,5.217,0.107
Jul-24,ÓLEO DIESEL B S500 - COMUM,R$/l,5.303,0.101
Aug-24,ÓLEO DIESEL B S500 - COMUM,R$/l,5.299,0.140
Sep-24,ÓLEO DIESEL B S500 - COMUM,R$/l,5.296,0.154
Oct-24,ÓLEO DIESEL B S500 - COMUM,R$/l,5.304,0.145
Nov-24,ÓLEO DIESEL B S500 - COMUM,R$/l,5.373,0.143
Dec-24,ÓLEO DIESEL B S500 - COMUM,R$/l,5.428,0.151
Jan-25,ÓLEO DIESEL B S500 - COMUM,R$/l,5.465,0.151
Feb-25,ÓLEO DIESEL B S500 - COMUM,R$/l,5.688,0.152
Mar-25,ÓLEO DIESEL B S500 - COMUM,R$/l,5.637,0.157
Apr-25,ÓLEO DIESEL B S500 - COMUM,R$/l,5.397,0.172
May-25,ÓLEO DIESEL B S500 - COMUM,R$/l,5.180,0.170
Jun-25,ÓLEO DIESEL B S500 - COMUM,R$/l,5.187,0.149
Jul-25,ÓLEO DIESEL B S500 - COMUM,R$/l,5.217,0.137
Aug-25,ÓLEO DIESEL B S500 - COMUM,R$/l,5.277,0.139
Sep-25,ÓLEO DIESEL B S500 - COMUM,R$/l,5.267,0.134
Oct-25,ÓLEO DIESEL B S500 - COMUM,R$/l,5.278,0.129
Nov-25,ÓLEO DIESEL B S500 - COMUM,R$/l,5.311,0.130
Dec-25,ÓLEO DIESEL B S500 - COMUM,R$/l,5.322,0.134
Jan-26,ÓLEO DIESEL B S500 - COMUM,R$/l,5.315,0.144
Feb-26,ÓLEO DIESEL B S500 - COMUM,R$/l,5.283,0.140
Mar-26,ÓLEO DIESEL B S500 - COMUM,R$/l,6.087,0.595
Apr-26,ÓLEO DIESEL B S500 - COMUM,R$/l,6.159,0.394

